C,Distance,CanJump
,0.807218414087354,1
,0.692978770464642,1
,0.392149660042938,1
,0.390275250517397,1
,0.197174659364586,1
,0.195441598838333,1
,0.110032448858437,1
,0.001454345275341,0
,-0.001326486227813,0
,-0.195735191578899,0
,-0.197564685988868,0
,-0.390367496092282,0
,-0.392055667198111,0
,-0.585005967440755,0
,-0.58663318965978,0
,0.587928005709871,1
,0.584966948592392,1
,0.204487037385553,1
,0.201318606844236,1
,0.201318606844236,1
,-0.180540479667716,0
,-0.183823959848285,0
,-0.56556028616315,0
,-0.56888515986472,0
,-0.94875857482513,0
,-0.952343172580039,0
,-1.33403648209857,0
,-1.33762229730998,0
,0.40896956927205,1
,0.405816357256892,1
,0.204014034837108,1
,0.032769461648907,0
,0.024999249235235,0
,-0.356488271431088,0
,-0.361186435588035,0
,-0.743545655019938,0
,-0.746965489981551,0
,-1.12706389292228,0
,-1.13202340438138,0
,0.613826738842921,1
,0.61057531736057,1
,0.229973138843246,1
,0.222971950199521,1
,0.187940034567659,1
,-0.160742453897952,0
,-0.164704058554806,0
,-0.543868826326937,0
,-0.548180246924603,0
,-0.931179192201134,0
,-0.934946815396609,0
,0.812940922475562,1
,0.809168427921654,1
,0.429264915475993,1
,0.425708316694749,1
,0.417473435080303,1
,0.044358464899893,0
,0.040426077612095,0
,-0.339272090358062,0
,-0.342937448663881,0
,-0.723943977481909,0
Result: ,,
Trained,,
0.526710407000597,,
 , ,
,0.194789120151679,1
Bias: ,,
0.265471410460795,,
 , ,
Gradient: ,,
1.74566639688559E-07,,
 , ,
Value: ,,
0.00480019629709,,
 , ,
Bias: ,,
-6.37558639463694,,
 , ,
Gradient: ,,
-1.18218201322748E-07,,
 , ,
Value: ,,
0.97269822074743,,
 , ,
Bias: ,,
0.945306572443739,,
 , ,
Gradient: ,,
4.08018924789186E-14,,
 , ,
Value: ,,
0.780604954769976,,
 , ,
Result: ,,
0.504674640204733,,
 , ,
,0.197762151036137,1
Bias: ,,
0.265471410460795,,
 , ,
Gradient: ,,
1.74566639688559E-07,,
 , ,
Value: ,,
0.00477090505021,,
 , ,
Bias: ,,
-6.37558639463694,,
 , ,
Gradient: ,,
-1.18218201322748E-07,,
 , ,
Value: ,,
0.972300187783633,,
 , ,
Bias: ,,
0.945306572443739,,
 , ,
Gradient: ,,
4.08018924789186E-14,,
 , ,
Value: ,,
0.793292023763464,,
 , ,
Result: ,,
0.523317866797058,,
 , ,
,0.195239579376597,1
Bias: ,,
0.265471410460795,,
 , ,
Gradient: ,,
1.74566639688559E-07,,
 , ,
Value: ,,
0.004795747520753,,
 , ,
Bias: ,,
-6.37558639463694,,
 , ,
Gradient: ,,
-1.18218201322748E-07,,
 , ,
Value: ,,
0.972638266571291,,
 , ,
Bias: ,,
0.945306572443739,,
 , ,
Gradient: ,,
4.08018924789186E-14,,
 , ,
Value: ,,
0.782562655631853,,
 , ,
Result: ,,
0.509545077500149,,
 , ,
,0.197094984400313,1
Bias: ,,
0.265471410460795,,
 , ,
Gradient: ,,
1.74566639688559E-07,,
 , ,
Value: ,,
0.004777464039625,,
 , ,
Bias: ,,
-6.37558639463694,,
 , ,
Gradient: ,,
-1.18218201322748E-07,,
 , ,
Value: ,,
0.972389995903823,,
 , ,
Bias: ,,
0.945306572443739,,
 , ,
Gradient: ,,
4.08018924789186E-14,,
 , ,
Value: ,,
0.790492928920467,,
 , ,
Result: ,,
0.526949506688077,,
 , ,
,0.194757466260198,1
Bias: ,,
0.265471410460795,,
 , ,
Gradient: ,,
1.74566639688559E-07,,
 , ,
Value: ,,
0.004800508530432,,
 , ,
Bias: ,,
-6.37558639463694,,
 , ,
Gradient: ,,
-1.18218201322748E-07,,
 , ,
Value: ,,
0.972702425676607,,
 , ,
Bias: ,,
0.945306572443739,,
 , ,
Gradient: ,,
4.08018924789186E-14,,
 , ,
Value: ,,
0.780466909701346,,
 , ,
Result: ,,
0.508676788831509,,
 , ,
,0.197213483583805,1
Bias: ,,
0.265471410460795,,
 , ,
Gradient: ,,
1.74566639688559E-07,,
 , ,
Value: ,,
0.004776296578749,,
 , ,
Bias: ,,
-6.37558639463694,,
 , ,
Gradient: ,,
-1.18218201322748E-07,,
 , ,
Value: ,,
0.972374064261125,,
 , ,
Bias: ,,
0.945306572443739,,
 , ,
Gradient: ,,
4.08018924789186E-14,,
 , ,
Value: ,,
0.790992112787602,,
 , ,
